epoch,accuracy,loss,val_accuracy,val_loss
0,0.5927324295043945,2.3872313499450684,0.6591711044311523,0.6257362365722656
1,0.6816997528076172,0.613389253616333,0.6252769827842712,0.6884675621986389
2,0.740094780921936,0.5376521944999695,0.7846532464027405,0.46880143880844116
3,0.8010956645011902,0.43842363357543945,0.8441526293754578,0.36341288685798645
4,0.8494367599487305,0.3543879985809326,0.87320476770401,0.32593533396720886
5,0.8813632130622864,0.2941586375236511,0.897661030292511,0.24838460981845856
6,0.90167635679245,0.2497943788766861,0.9084940552711487,0.236700639128685
7,0.913946270942688,0.22411713004112244,0.8924087285995483,0.2631521224975586
8,0.9243900775909424,0.20240525901317596,0.9414033889770508,0.1779613196849823
9,0.9341567754745483,0.17906658351421356,0.9442757368087769,0.1603926718235016
10,0.9422410130500793,0.16733314096927643,0.9281904101371765,0.18581783771514893
11,0.9471243619918823,0.17070160806179047,0.9281904101371765,0.17620809376239777
12,0.952028214931488,0.1520530879497528,0.9415674805641174,0.15486574172973633
13,0.9557009935379028,0.13662327826023102,0.9504308700561523,0.14265087246894836
14,0.9578964710235596,0.13465723395347595,0.9578990340232849,0.14104360342025757
15,0.9614871740341187,0.12368807941675186,0.9617562294006348,0.1284503936767578
16,0.9640108942985535,0.11145289987325668,0.9561756253242493,0.1507958024740219
17,0.9664936065673828,0.10562852770090103,0.9582273364067078,0.12993177771568298
18,0.9677862524986267,0.10559818893671036,0.9617562294006348,0.13285304605960846
19,0.9686480760574341,0.09780458360910416,0.9573245644569397,0.1527004987001419
20,0.9711512923240662,0.09690027683973312,0.961345911026001,0.1498481184244156
21,0.9722182154655457,0.08933579176664352,0.973081648349762,0.10189038515090942
22,0.972649097442627,0.09170002490282059,0.9699630737304688,0.12429345399141312
23,0.9744341969490051,0.08407153934240341,0.9722609519958496,0.13085421919822693
24,0.9755011796951294,0.08345959335565567,0.9701272249221802,0.11523737013339996
25,0.9761167168617249,0.08109445869922638,0.9725892543792725,0.10659565031528473
26,0.976875901222229,0.07719606161117554,0.9700451493263245,0.09979071468114853
27,0.9784352779388428,0.07262001931667328,0.9524825811386108,0.215067520737648
28,0.9769989848136902,0.07728210836648941,0.9768567681312561,0.09344219416379929
29,0.9767938256263733,0.0820189043879509,0.9612638354301453,0.1665038913488388
30,0.9785378575325012,0.07878899574279785,0.9611817598342896,0.14239154756069183
31,0.9781480431556702,0.12540213763713837,0.9754616618156433,0.10631082952022552
32,0.974700927734375,0.4999593198299408,0.9623307585716248,0.13431857526302338
33,0.9782095551490784,0.07666393369436264,0.9533852934837341,0.1295555680990219
34,0.9768553376197815,0.08253809064626694,0.9684037566184998,0.12280669063329697
35,0.9761987924575806,0.08230572193861008,0.9729174971580505,0.11445140838623047
36,0.9776145219802856,0.07707898318767548,0.9722609519958496,0.11911850422620773
37,0.9745162725448608,0.13330239057540894,0.9691423773765564,0.13461746275424957
38,0.9772862792015076,0.07688956707715988,0.9717685580253601,0.12171971797943115
39,0.9785173535346985,0.07667696475982666,0.9656134843826294,0.18133126199245453
40,0.9775735139846802,0.07859798520803452,0.9344275593757629,0.2950901687145233
41,0.976875901222229,0.08108297735452652,0.9703733921051025,0.1105092242360115
42,0.9792765378952026,0.07321062684059143,0.9733278751373291,0.14704787731170654
43,0.97784024477005,0.08135060220956802,0.9696347713470459,0.11413172632455826
44,0.9763834476470947,0.08277210593223572,0.9737381935119629,0.12265972793102264
45,0.9711717963218689,3.0441296100616455,0.9708658456802368,0.1417122483253479
46,0.9744136929512024,0.09361152350902557,0.9593762755393982,0.14770136773586273
47,0.9761577248573303,0.0926581546664238,0.9672548174858093,0.12942814826965332
48,0.9752549529075623,0.08931611478328705,0.976528525352478,0.1313934624195099
49,0.9772042036056519,0.08739319443702698,0.9693886041641235,0.15346978604793549
50,0.975275456905365,0.08848545700311661,0.9711120128631592,0.1544835865497589
51,0.9760756492614746,0.08944182842969894,0.9766106009483337,0.11210358142852783
52,0.9741264581680298,0.09087084978818893,0.9767747521400452,0.12728193402290344
53,0.9726080894470215,0.11343474686145782,0.957160472869873,0.1778573989868164
